Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
POP0140,PIZZA OVEN - SINGLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,10828.125,11157.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,8250.0,0,Sales,Purchases
POP0240,PIZZA OVEN - DOUBLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,14175.0,14606.15,True,,,,,,,,,,,,,Standard Rate,Standard Rate,10800.0,0,Sales,Purchases
POS1101,PIZZA OVEN - SINGLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,3937.5,4057.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3000.0,-1,Sales,Purchases
POS1404,PIZZA OVEN - SINGLE DECK - 4 PIZZAS PER DECK,CaterMarket,True,EACH,12600.0,12983.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9600.0,0,Sales,Purchases
POS2102,PIZZA OVEN - DOUBLE DECK - 1 PIZZA PER DECK,CaterMarket,True,EACH,6300.0,6491.75,True,,,,,,,,,,,,,Standard Rate,Standard Rate,4800.0,0,Sales,Purchases
POS2408,PIZZA OVEN - DOUBLE DECK - 4 PIZZAS PER DECK,CaterMarket,True,EACH,24412.5,25155.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18600.0,0,Sales,Purchases
PPS0006,POTATO PEELER - 6KG,CaterMarket,True,EACH,12009.375,12374.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9150.0,0,Sales,Purchases
PPS0015,POTATO PEELER - 15KG,CaterMarket,True,EACH,18506.25,19069.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,14100.0,0,Sales,Purchases
PRP0040,PIZZA DOUGH ROLLER - DSA420 T.GO,CaterMarket,True,EACH,22640.625,23328.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,17250.0,-1,Sales,Purchases
PRP0041,PIZZA DOUGH ROLLER - DSA420 RP T.GO,CaterMarket,True,EACH,24806.25,25559.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18900.0,0,Sales,Purchases
PRP0050,PIZZA DOUGH ROLLER DMA500/1,CaterMarket,True,EACH,17915.625,18459.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,13650.0,0,Sales,Purchases
PRS0040,PIZZA DOUGH ROLLER,CaterMarket,True,EACH,19490.625,20083.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,14850.0,0,Sales,Purchases
PSB-QS-400B,PASTRY / DOUGH SHEETER - 400MM BELT,CaterMarket,True,EACH,71268.75,73435.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,54300.0,0,Sales,Purchases
PSB-QS-630B,PASTRY / DOUGH SHEETER - 630MM BELT,CaterMarket,True,EACH,92925.0,95750.15,True,,,,,,,,,,,,,Standard Rate,Standard Rate,70800.0,-2,Sales,Purchases
PTP0001,PLATFORM TROLLEY - 880 X 580MM,CaterMarket,True,EACH,2362.5,2434.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1800.0,0,Sales,Purchases
PTP0002,PLATFORM TROLLEY - 730 X 490MM,CaterMarket,True,EACH,1771.875,1826.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1350.0,0,Sales,Purchases
PWS0001,PIE WARMER - 660MM,CaterMarket,True,EACH,5709.375,5883.4,True,,,,,,,,,,,,,Standard Rate,Standard Rate,4350.0,-1,Sales,Purchases
PWS0002,PIE WARMER - 900MM,CaterMarket,True,EACH,7481.25,7708.45,True,,,,,,,,,,,,,Standard Rate,Standard Rate,5700.0,0,Sales,Purchases
PWS0004,PIE WARMER - 640MM,CaterMarket,True,EACH,4725.0,4869.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3600.0,-1,Sales,Purchases
RCS0010,RICE COOKER - 10LT,CaterMarket,True,EACH,1575.0,1622.65,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1200.0,0,Sales,Purchases
SCS0900,4 TIER CHROME SHELVING UNIT - 900 X 450 X 1800MM HIGH,CaterMarket,True,EACH,2559.375,2636.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1950.0,-12,Sales,Purchases
SCS0901,ADDITIONAL SHELF FOR 900 SHELVING UNIT,CaterMarket,True,EACH,452.8125,466.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,345.0,0,Sales,Purchases
