Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
AKM6230R,MIXER ANKARSRUM ORIGINAL - RED,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM6230SY,MIXER ANKARSRUM ORIGINAL - SUNBEAN YELLOW,CaterMarket,True,EACH,13230.0,15214.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,11250.0,0,Sales,Purchases
AKM92000196-50,3.5LT PLASTIC BOWL,CaterMarket,True,EACH,529.0,608.35,True,,,,,,,,,,,,,Standard Rate,Standard Rate,450.0,0,Sales,Purchases
AKM920900026,CITRUS PRESS - 1.2LT,CaterMarket,True,EACH,706.0,811.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,600.0,0,Sales,Purchases
AKM920900033,STRAINER ATTACHMENT FOR MINCER,CaterMarket,True,EACH,1588.0,1826.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1350.0,0,Sales,Purchases
AKM920900034,GRATER ATTACHEMENT FOR MINCER,CaterMarket,True,EACH,1058.0,1216.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,900.0,0,Sales,Purchases
AKM920900035,COOKIE ATTACHMENT FOR MINCER,CaterMarket,True,EACH,529.0,608.35,True,,,,,,,,,,,,,Standard Rate,Standard Rate,450.0,0,Sales,Purchases
AKM920900036,PASTA DISCS FOR MINCER,CaterMarket,True,EACH,353.0,405.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,300.0,0,Sales,Purchases
AKM920900043,VEGETABLE CUTTER,CaterMarket,True,EACH,2646.0,3042.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2250.0,0,Sales,Purchases
AKM920900044,EXTRA GRATING DRUMS,CaterMarket,True,EACH,2117.0,2434.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1800.0,0,Sales,Purchases
AKM920900045,FLOUR AND COFFE GRINDER,CaterMarket,True,EACH,2999.0,3448.85,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2550.0,0,Sales,Purchases
AKM920900046,FLAKE MILL,CaterMarket,True,EACH,2999.0,3448.85,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2550.0,0,Sales,Purchases
AKM920900052/3/4/5,HOLE DISCS FOR MINCER 2.5 / 4.5 / 6 / 8MM,CaterMarket,True,EACH,353.0,405.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,300.0,0,Sales,Purchases
AKM920900057,MEAT MINCER AND SAUSAGE HORN 10 / 20 / 25MM,CaterMarket,True,EACH,3175.0,3651.25,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2700.0,0,Sales,Purchases
AKM920900065,PASTA / SPAGHETTI CUTTER,CaterMarket,True,EACH,1940.0,2231.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1650.0,0,Sales,Purchases
AKM920900066,BLENDER WITH 1.5LT JUG,CaterMarket,True,EACH,2117.0,2434.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1800.0,0,Sales,Purchases
AKM920900067,DELUXE PACKAGE FOR ANKARSRUM MIXER,CaterMarket,True,EACH,7585.0,8722.75,True,,,,,,,,,,,,,Standard Rate,Standard Rate,6450.0,0,Sales,Purchases
AKM920900072,ICE CREAM ACCESSORY,CaterMarket,True,EACH,2470.0,2840.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2100.0,0,Sales,Purchases
ARI/4BG-EOC/700,4 BURNER WITH ELECTRIC CONVECTION OVEN - 700 RANGE,CaterMarket,True,EACH,38984.0,44831.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,33150.0,0,Sales,Purchases
ARI/6BG-EOC/700,6 BURNER WITH ELECTRIC CONVECTION OVEN & CABINET - 700 RANGE,CaterMarket,True,EACH,55742.0,64103.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,47400.0,0,Sales,Purchases
