Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
1C24216,SANTE - STEMLESS WINE GLASS - 46.5CL (48),BCE,TRUE,EACH,33.85,38.93,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,27.08,0,Sales,Purchases
1LS03CD14,SHANGHAI SOUL - CHARDONNAY - 40.5CL (24),BCE,TRUE,EACH,69.95,80.44,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,55.96,0,Sales,Purchases
1LS04BG32,HONGKONG HIP - BURGUNDY - 91CL (24),BCE,TRUE,EACH,86.95,99.99,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,69.56,0,Sales,Purchases
1LS04CB19,HONGKONG HIP - CABERNET - 54.5CL (24),BCE,TRUE,EACH,72.95,83.89,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,58.36,0,Sales,Purchases
1LS04CD15,HONGKONG HIP - CHARDONNAY - 42.5CL (24),BCE,TRUE,EACH,69.95,80.44,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,55.96,0,Sales,Purchases
1LS04CP09,HONGKONG HIP - CHAMPAGNE - 27CL (24),BCE,TRUE,EACH,66.95,76.99,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,53.56,0,Sales,Purchases
1LS10ER21,DESIRE - ELEGANT RED - 59CL (24),BCE,TRUE,EACH,70.95,81.59,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,56.76,0,Sales,Purchases
1LS10RW17,DESIRE - RICH WHITE - 48.5CL (24),BCE,TRUE,EACH,68.95,79.29,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,55.16,0,Sales,Purchases
1LS10US15,DESIRE - UNIVERSAL - 42CL (24),BCE,TRUE,EACH,66.95,76.99,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,53.56,0,Sales,Purchases
1LT03DR14,SHANGHAI SOUL - DOUBLE ROCK - 39.5CL (24),BCE,TRUE,EACH,47.95,55.14,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,38.36,0,Sales,Purchases
1LT03HB10,SHANGHAI SOUL - HI BALL - 28.5CL (24),BCE,TRUE,EACH,41.95,48.24,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,33.56,0,Sales,Purchases
1LT04DR13,HONGKONG HIP - DOUBLE ROCK - 37CL (24),BCE,TRUE,EACH,47.95,55.14,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,38.36,0,Sales,Purchases
1LT04HB10,HONGKONG HIP - HI BALL - 29CL (24),BCE,TRUE,EACH,41.95,48.24,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1LT17DR14,SERENE - DOUBLE ROCK - 39.5CL (24),BCE,TRUE,EACH,39.25,45.14,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,31.40,0,Sales,Purchases
1LT17LD15,SERENE - LONG DRINK - 40CL (24),BCE,TRUE,EACH,38.45,44.22,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,30.76,0,Sales,Purchases
1P00110,SOLO - SHOT - 6CL (72),BCE,TRUE,EACH,14.25,16.39,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,11.40,0,Sales,Purchases
1P00115,ALASKA - ICE CREAM CUP - 20.5CL (24),BCE,TRUE,EACH,28.15,32.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,22.52,0,Sales,Purchases
1P00210,PLAZA - SHOT - 5.5CL (72),BCE,TRUE,EACH,10.85,12.48,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,8.68,0,Sales,Purchases
1P00315,ALASKA - SUNDAE CUP - 22.7CL (24),BCE,TRUE,EACH,30.75,35.36,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,24.60,0,Sales,Purchases
1P00415,ALASKA - SODA CUP - 35.5CL (24),BCE,TRUE,EACH,41.95,48.24,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,33.56,0,Sales,Purchases
1P00623,STACK BOWL - 104MM (72),BCE,TRUE,EACH,13.85,15.93,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,11.08,0,Sales,Purchases
1P00624,STACK BOWL - 121MM (48),BCE,TRUE,EACH,16.85,19.38,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,13.48,0,Sales,Purchases
1P01640,KENYA - MUG - 32CL (6),BCE,TRUE,EACH,28.15,32.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1P01641,KENYA - CAPPUCCINO CUP - 24.5CL (6),BCE,TRUE,EACH,22.55,25.93,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1P01642,KENYA - ESPRESSO CUP - 6.5CL (6),BCE,TRUE,EACH,17.85,20.53,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,14.28,0,Sales,Purchases
1P01644,KENYA - SLIM MUG - 32CL (6),BCE,TRUE,EACH,40.95,47.09,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,-12,Sales,Purchases
1P01671,KENYA - CAPPUCCINO SAUCER - 15CM (6),BCE,TRUE,EACH,20.55,23.63,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,16.44,0,Sales,Purchases
1P01672,KENYA - ESPRESSO SAUCER - 11CM (6),BCE,TRUE,EACH,17.05,19.61,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,13.64,0,Sales,Purchases
1P02807,CONNEXION - DOUBLE ROCK - 35CL (48),BCE,TRUE,EACH,23.15,26.62,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1P02808,CONNEXION - HI BALL - 35CL (48),BCE,TRUE,EACH,30.75,35.36,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1P02809,CONNEXION - LONG DRINK - 43CL (36),BCE,TRUE,EACH,34.95,40.19,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,27.96,0,Sales,Purchases
1P02810,CONNEXION - MIXING GLASS - 62.5CL (12),BCE,TRUE,EACH,205.95,236.84,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,164.76,0,Sales,Purchases
1P02820,CONNEXION - CONDIMENT BOWL - 100MM (24),BCE,TRUE,EACH,25.65,29.50,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,20.52,0,Sales,Purchases
1P02880,CONNEXION - WHISKEY ROCK - 30.5CL (24),BCE,TRUE,EACH,30.75,35.36,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,24.60,0,Sales,Purchases
1P03661,TRAZE PAST - DOUBLE ROCKS - 35CL (36),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,28.68,0,Sales,Purchases
1P03662,TRAZE PRESENT - DOUBLE ROCKS - 35CL (36),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,28.68,0,Sales,Purchases
1P03663,TRAZE FUTURE - DOUBLE ROCKS - 35CL (36),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,28.68,0,Sales,Purchases
1P03664,TRAZE PAST - HI BALL - 35CL (36),BCE,TRUE,EACH,36.35,41.80,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,29.08,0,Sales,Purchases
1P03665,TRAZE PRESENT - HI BALL - 35CL (36),BCE,TRUE,EACH,36.35,41.80,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1P03666,TRAZE FUTURE - HI BALL - 35CL (36),BCE,TRUE,EACH,35.85,41.23,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,28.68,0,Sales,Purchases
1P03720,VERRINE - SHALLOW BOWL - 78.5MM (72),BCE,TRUE,EACH,23.15,26.62,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,18.52,0,Sales,Purchases
1P03721,VERRINE - DEEP BOWL - 78.5MM (72),BCE,TRUE,EACH,25.65,29.50,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,20.52,0,Sales,Purchases
1P2880,DISCONTINUED!!! --- WHISKY GLASS,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
1R00216,IMPERIAL - 47.5CL (24),BCE,TRUE,EACH,33.35,38.35,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,26.68,0,Sales,Purchases
1V13610,BISTRO - CARAFE - 27CL (48),BCE,TRUE,EACH,28.15,32.37,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,22.52,0,Sales,Purchases
1V13621,BISTRO - CARAFE - 58.5CL (24),BCE,TRUE,EACH,38.45,44.22,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,30.76,0,Sales,Purchases
1V13633,BISTRO - CARAFE - 94CL (24),BCE,TRUE,EACH,54.95,63.19,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,43.96,0,Sales,Purchases
25 Menthol Tertiary buyl,DISCONTINUED!!! --- 25MTB,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
253.95,DISCONTINUED!!! --- CAN OPENER HAND HELD - ZANGEN,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,-1,Sales,Purchases
